,Sensor No,Temp,Time
0,10,26.7517,2021-05-31 13:14:58
1,10,26.7517,2021-05-31 13:15:03
2,10,26.7517,2021-05-31 13:15:09
3,10,26.7517,2021-05-31 13:15:20
4,10,26.7517,2021-05-31 13:18:52
5,10,26.7517,2021-05-31 13:19:00
6,10,26.7517,2021-05-31 13:19:06
7,10,26.7517,2021-05-31 13:19:10
8,10,26.7517,2021-05-31 13:19:15
9,10,26.7517,2021-05-31 13:19:19
10,10,26.7517,2021-05-31 13:19:23
11,10,26.7517,2021-05-31 13:19:28
12,10,26.7517,2021-05-31 13:19:33
13,10,26.7517,2021-05-31 13:19:36
14,10,26.7517,2021-05-31 13:19:43
15,10,26.7517,2021-05-31 13:19:47
16,10,26.7517,2021-05-31 13:19:52
17,10,26.7517,2021-05-31 13:19:56
18,10,26.7517,2021-05-31 13:20:01
19,10,26.7517,2021-05-31 13:20:06
20,10,26.7517,2021-05-31 13:20:14
21,10,26.7517,2021-05-31 13:20:18
22,10,26.7517,2021-05-31 13:20:39
23,10,26.7517,2021-05-31 13:20:44
24,10,26.7517,2021-05-31 13:20:49
25,10,26.7517,2021-05-31 13:20:54
26,10,26.7517,2021-05-31 13:21:00
27,10,26.7517,2021-05-31 13:21:04
28,10,26.7517,2021-05-31 13:21:08
29,10,26.7517,2021-05-31 13:21:12
30,10,26.7517,2021-05-31 13:21:16
31,10,26.7517,2021-05-31 13:21:20
32,10,26.7517,2021-05-31 13:21:27
33,10,26.7517,2021-05-31 13:21:32
34,10,26.7517,2021-05-31 13:21:35
35,10,26.7517,2021-05-31 13:21:39
36,10,26.7517,2021-05-31 13:21:43
37,10,26.7517,2021-05-31 13:21:47
38,10,26.7517,2021-05-31 13:24:57
39,10,26.7517,2021-05-31 13:28:05
40,10,26.7517,2021-05-31 13:28:10
41,10,26.8484,2021-05-31 13:55:40
42,10,26.8484,2021-05-31 13:57:18
43,10,26.8484,2021-05-31 13:58:00
44,10,26.8484,2021-05-31 13:58:47
45,10,26.8484,2021-05-31 14:00:08
46,10,26.8227,2021-05-31 14:12:02
47,10,26.8227,2021-05-31 14:12:44
48,10,26.8227,2021-05-31 14:13:19
49,10,26.8227,2021-05-31 14:14:44
50,10,26.8227,2021-05-31 14:15:30
51,10,26.8227,2021-05-31 14:18:08
52,10,26.8227,2021-05-31 14:19:42
53,10,26.8227,2021-05-31 14:20:46
54,10,26.8227,2021-05-31 14:21:08
55,10,26.8227,2021-05-31 14:25:36
56,10,26.8227,2021-05-31 14:27:35
57,10,26.8227,2021-05-31 14:28:13
58,10,26.8227,2021-05-31 14:28:49
59,10,26.8227,2021-05-31 14:31:05
60,10,26.72,2021-05-31 15:09:54
61,10,26.72,2021-05-31 15:10:20
62,10,26.72,2021-05-31 15:14:54
63,10,26.72,2021-05-31 15:15:25
64,10,26.72,2021-05-31 15:16:56
65,10,26.72,2021-05-31 15:17:14
66,10,26.72,2021-05-31 15:32:59
67,10,26.72,2021-05-31 15:33:40
68,10,26.72,2021-05-31 15:35:37
69,10,26.5975,2021-05-31 15:35:57
70,10,26.5975,2021-05-31 15:57:56
71,10,26.8144,2021-06-01 07:44:25
72,10,26.8144,2021-06-01 08:07:06
73,10,27.3123,2021-06-01 08:27:17
74,10,27.3123,2021-06-01 08:30:15
75,10,27.3123,2021-06-01 08:32:28
76,10,27.3123,2021-06-01 08:37:50
77,10,27.3123,2021-06-01 08:38:31
78,10,27.3123,2021-06-01 08:39:34
79,10,27.4248,2021-06-01 08:41:16
80,10,27.4248,2021-06-01 08:44:05
81,10,27.4248,2021-06-01 08:49:26
82,10,27.4248,2021-06-01 08:49:44
83,10,27.4248,2021-06-01 08:50:28
84,10,27.4248,2021-06-01 08:52:06
85,10,27.4248,2021-06-01 08:53:04
86,10,27.4248,2021-06-01 08:58:30
87,10,27.4248,2021-06-01 09:02:15
88,10,27.6027,2021-06-01 09:11:39
89,10,27.6027,2021-06-01 09:17:09
90,10,27.5387,2021-06-01 09:46:02
91,10,27.5387,2021-06-01 09:46:41
92,10,27.5387,2021-06-01 09:47:42
93,10,27.5387,2021-06-01 09:48:12
94,10,27.5387,2021-06-01 09:48:26
95,10,27.5387,2021-06-01 09:49:26
96,10,27.5387,2021-06-01 09:52:35
97,10,27.5387,2021-06-01 09:53:42
98,10,27.5387,2021-06-01 09:57:12
99,10,27.5387,2021-06-01 09:58:43
100,10,27.5387,2021-06-01 09:59:14
101,10,27.5387,2021-06-01 10:00:58
102,10,27.5387,2021-06-01 10:01:42
103,10,27.5387,2021-06-01 10:02:15
104,10,27.5387,2021-06-01 10:02:37
105,10,27.5387,2021-06-01 10:02:53
106,10,27.5387,2021-06-01 10:03:11
107,10,27.5387,2021-06-01 10:03:23
108,10,27.5387,2021-06-01 10:06:14
109,10,27.5387,2021-06-01 10:06:41
110,10,27.5353,2021-06-01 10:15:34
111,10,27.5353,2021-06-01 10:18:34
112,10,27.5353,2021-06-01 10:21:18
113,10,27.5353,2021-06-01 10:22:04
114,10,27.5353,2021-06-01 10:22:15
115,10,27.5353,2021-06-01 10:22:25
116,10,27.5353,2021-06-01 10:22:33
