,Sensor No,Temp,Time
0,11,27.2441,2021-05-31 13:14:58
1,11,27.2441,2021-05-31 13:15:03
2,11,27.2441,2021-05-31 13:15:09
3,11,27.2441,2021-05-31 13:15:20
4,11,27.2441,2021-05-31 13:18:52
5,11,27.2441,2021-05-31 13:19:00
6,11,27.2441,2021-05-31 13:19:06
7,11,27.2441,2021-05-31 13:19:10
8,11,27.2441,2021-05-31 13:19:15
9,11,27.2441,2021-05-31 13:19:19
10,11,27.2441,2021-05-31 13:19:23
11,11,27.2441,2021-05-31 13:19:28
12,11,27.2441,2021-05-31 13:19:33
13,11,27.2441,2021-05-31 13:19:36
14,11,27.2441,2021-05-31 13:19:43
15,11,27.2441,2021-05-31 13:19:47
16,11,27.2441,2021-05-31 13:19:52
17,11,27.2441,2021-05-31 13:19:56
18,11,27.2441,2021-05-31 13:20:01
19,11,27.2441,2021-05-31 13:20:06
20,11,27.2441,2021-05-31 13:20:14
21,11,27.2441,2021-05-31 13:20:18
22,11,27.2441,2021-05-31 13:20:39
23,11,27.2441,2021-05-31 13:20:44
24,11,27.2441,2021-05-31 13:20:49
25,11,27.2441,2021-05-31 13:20:54
26,11,27.2441,2021-05-31 13:21:00
27,11,27.2441,2021-05-31 13:21:04
28,11,27.2441,2021-05-31 13:21:08
29,11,27.2441,2021-05-31 13:21:12
30,11,27.2441,2021-05-31 13:21:16
31,11,27.2441,2021-05-31 13:21:20
32,11,27.2441,2021-05-31 13:21:27
33,11,27.2441,2021-05-31 13:21:32
34,11,27.2441,2021-05-31 13:21:35
35,11,27.2441,2021-05-31 13:21:39
36,11,27.2441,2021-05-31 13:21:43
37,11,27.2441,2021-05-31 13:21:47
38,11,27.4576,2021-05-31 13:24:57
39,11,27.4576,2021-05-31 13:28:05
40,11,27.4576,2021-05-31 13:28:10
41,11,27.3986,2021-05-31 13:55:40
42,11,27.3986,2021-05-31 13:57:18
43,11,27.3986,2021-05-31 13:58:00
44,11,27.3986,2021-05-31 13:58:47
45,11,27.3986,2021-05-31 14:00:08
46,11,27.3986,2021-05-31 14:12:02
47,11,27.3986,2021-05-31 14:12:44
48,11,27.3986,2021-05-31 14:13:19
49,11,27.3986,2021-05-31 14:14:44
50,11,27.3986,2021-05-31 14:15:30
51,11,27.3986,2021-05-31 14:18:08
52,11,27.3986,2021-05-31 14:19:42
53,11,27.3986,2021-05-31 14:20:46
54,11,27.3986,2021-05-31 14:21:08
55,11,27.2918,2021-05-31 14:25:36
56,11,27.2918,2021-05-31 14:27:35
57,11,27.2918,2021-05-31 14:28:13
58,11,27.2918,2021-05-31 14:28:49
59,11,27.2918,2021-05-31 14:31:05
60,11,27.2483,2021-05-31 15:09:54
61,11,27.2483,2021-05-31 15:10:20
62,11,27.2483,2021-05-31 15:14:54
63,11,27.2483,2021-05-31 15:15:25
64,11,27.2483,2021-05-31 15:16:56
65,11,27.2483,2021-05-31 15:17:14
66,11,27.2463,2021-05-31 15:32:59
67,11,27.2463,2021-05-31 15:33:40
68,11,27.2463,2021-05-31 15:35:37
69,11,27.2463,2021-05-31 15:35:57
70,11,27.0644,2021-05-31 15:57:56
71,11,27.1925,2021-06-01 07:44:25
72,11,27.6651,2021-06-01 08:07:06
73,11,27.6651,2021-06-01 08:27:17
74,11,27.9478,2021-06-01 08:30:15
75,11,27.9478,2021-06-01 08:32:28
76,11,27.9478,2021-06-01 08:37:50
77,11,27.9478,2021-06-01 08:38:31
78,11,27.9478,2021-06-01 08:39:34
79,11,27.9478,2021-06-01 08:41:16
80,11,27.9478,2021-06-01 08:44:05
81,11,27.9478,2021-06-01 08:49:26
82,11,27.9478,2021-06-01 08:49:44
83,11,27.9478,2021-06-01 08:50:28
84,11,27.9478,2021-06-01 08:52:06
85,11,27.9478,2021-06-01 08:53:04
86,11,27.9478,2021-06-01 08:58:30
87,11,28.1795,2021-06-01 09:02:15
88,11,28.1795,2021-06-01 09:11:39
89,11,28.1795,2021-06-01 09:17:09
90,11,28.2519,2021-06-01 09:46:02
91,11,28.2519,2021-06-01 09:46:41
92,11,28.2519,2021-06-01 09:47:42
93,11,28.2519,2021-06-01 09:48:12
94,11,28.2519,2021-06-01 09:48:26
95,11,28.2519,2021-06-01 09:49:26
96,11,28.2519,2021-06-01 09:52:35
97,11,28.2519,2021-06-01 09:53:42
98,11,28.2519,2021-06-01 09:57:12
99,11,28.2519,2021-06-01 09:58:43
100,11,28.1539,2021-06-01 09:59:14
101,11,28.1539,2021-06-01 10:00:58
102,11,28.1539,2021-06-01 10:01:42
103,11,28.1539,2021-06-01 10:02:15
104,11,28.1539,2021-06-01 10:02:37
105,11,28.1539,2021-06-01 10:02:53
106,11,28.1539,2021-06-01 10:03:11
107,11,28.1539,2021-06-01 10:03:23
